Predicted	Measured
2.425638389587402344e+01	1.258769035339355469e+01
1.521443748474121094e+01	1.012170982360839844e+01
2.535660362243652344e+01	1.614093017578125000e+01
-4.443698501586914062e+01	1.132106971740722656e+01
2.117378807067871094e+01	1.154524993896484375e+01
3.906525421142578125e+01	1.899921989440917969e+01
6.294486236572265625e+01	1.300242042541503906e+01
4.589725494384765625e+01	1.629785919189453125e+01
2.066504478454589844e+01	1.067094993591308594e+01
1.381207084655761719e+01	2.119620084762573242e+00
5.735233306884765625e+01	1.146679019927978516e+01
3.170380210876464844e+01	1.434749960899353027e+00
3.660013580322265625e+01	6.859899997711181641e+00
6.128763580322265625e+01	1.604005050659179688e+01
3.756497955322265625e+01	1.422420024871826172e+01
3.252571868896484375e+01	1.266615009307861328e+01
2.897907066345214844e+01	9.415539741516113281e+00
1.615118980407714844e+01	1.171337985992431641e+01
2.375066184997558594e+01	1.345077991485595703e+01
3.280319976806640625e+01	1.376463031768798828e+01
3.279994964599609375e+01	1.338352012634277344e+01
2.464945030212402344e+01	3.710170030593872070e+00
1.086787490844726562e+02	1.625301933288574219e+01
3.095036888122558594e+01	1.281970024108886719e+00
5.337253570556640625e+01	1.240834045410156250e+01
2.265700340270996094e+01	1.422420024871826172e+01
7.421268463134765625e+01	1.692555999755859375e+01
1.548456382751464844e+01	7.745409965515136719e+00
5.175107574462890625e+01	1.737392044067382812e+01
1.159654045104980469e+01	1.209449005126953125e+01
2.447003746032714844e+01	4.259409904479980469e+00
9.504319000244140625e+01	8.182559967041015625e+00
1.667271995544433594e+01	9.430000305175781250e+00
1.597615623474121094e+01	1.320417976379394531e+01
1.431111717224121094e+01	9.718190193176269531e+00
3.790830230712890625e+01	1.412331962585449219e+01
4.548090362548828125e+01	1.305846023559570312e+01
2.273247337341308594e+01	1.535630035400390625e+01
4.566471099853515625e+01	3.060050010681152344e+00
1.572191429138183594e+01	1.277824020385742188e+01
1.370695304870605469e+01	1.225142002105712891e+01
5.240061187744140625e+01	1.714974021911621094e+01
2.360935020446777344e+01	2.174540042877197266e+00
2.832536888122558594e+01	1.359648990631103516e+01
3.692511749267578125e+01	1.670137977600097656e+01
6.073920440673828125e+01	1.759810066223144531e+01
6.414313507080078125e+01	1.457166957855224609e+01
1.030052261352539062e+02	1.431387042999267578e+01
2.760349082946777344e+01	2.369580030441284180e+00
2.388736534118652344e+01	2.629630088806152344e+00
4.009989166259765625e+01	1.209449005126953125e+01
7.416196441650390625e+01	1.212812042236328125e+01
4.874073028564453125e+01	1.912252044677734375e+01
4.357328033447265625e+01	1.657807922363281250e+01
2.696042442321777344e+01	1.000000000000000000e+00
6.634580230712890625e+01	1.490793991088867188e+01
1.865227317810058594e+01	1.636510014533996582e+00
4.762009429931640625e+01	1.513212013244628906e+01
3.410846710205078125e+01	1.361890983581542969e+01
4.471253204345703125e+01	1.244196987152099609e+01
3.865457916259765625e+01	1.266615009307861328e+01
4.005295562744140625e+01	6.153729915618896484e+00
4.833432769775390625e+01	2.231707954406738281e+01
2.623908042907714844e+01	1.383187961578369141e+01
3.308486175537109375e+01	1.346199035644531250e+01
2.968277549743652344e+01	2.678950071334838867e+00
5.237509155273437500e+02	1.871899962425231934e+00
1.580278587341308594e+01	3.046600103378295898e+00
1.832604026794433594e+01	1.274460983276367188e+01
2.449072360992431641e+00	4.959969997406005859e+00
1.612893486022949219e+01	1.210569953918457031e+01
6.158750152587890625e+01	1.898801040649414062e+01
3.494918060302734375e+01	1.482948017120361328e+01
1.061059379577636719e+01	1.281186008453369141e+01
1.102858047485351562e+02	2.230587005615234375e+01
5.753409576416015625e+01	1.573740959167480469e+01
1.752727317810058594e+01	1.468375968933105469e+01
1.565286827087402344e+01	4.864699840545654297e+00
4.479441070556640625e+01	1.600642013549804688e+01
9.841355133056640625e+01	1.165734004974365234e+01
-1.538644104003906250e+02	1.055885982513427734e+01
3.432700347900390625e+01	1.126500010490417480e+00
1.390107536315917969e+01	1.232987976074218750e+01
1.847862052917480469e+01	1.340594005584716797e+01
4.602909088134765625e+01	1.602883911132812500e+01
8.120279693603515625e+01	1.681347084045410156e+01
1.847272300720214844e+01	1.333868980407714844e+01
4.776688385009765625e+01	1.580465984344482422e+01
1.568164634704589844e+01	1.008808040618896484e+01
2.677097129821777344e+01	9.919949531555175781e+00
1.462070274353027344e+01	1.156766986846923828e+01
-1.184509735107421875e+02	9.101690292358398438e+00
4.825730133056640625e+01	8.048049926757812500e+00
1.863980674743652344e+01	9.751810073852539062e+00
1.658574485778808594e+01	2.219379901885986328e+00
2.426506614685058594e+01	1.336110973358154297e+01
6.052343750000000000e+02	1.524420022964477539e+00
6.048584747314453125e+01	1.912252044677734375e+01
9.169608306884765625e+01	1.368616962432861328e+01
1.413852500915527344e+01	1.275582027435302734e+01
2.731842613220214844e+01	1.311450958251953125e+01
2.905097007751464844e+01	1.107446956634521484e+01
1.696660423278808594e+01	4.710010051727294922e+00
2.281845664978027344e+01	1.201603031158447266e+01
2.041522789001464844e+01	1.098480033874511719e+01
2.413950157165527344e+01	1.032347011566162109e+01
3.423303527832031250e+02	1.947000026702880859e+00
4.185767364501953125e+01	2.702490091323852539e+00
5.109043121337890625e+01	1.640995025634765625e+01
4.274875640869140625e+01	1.493035984039306641e+01
5.268296051025390625e+01	1.643236923217773438e+01
3.865064239501953125e+01	1.635390090942382812e+01
1.412499809265136719e+01	1.334990024566650391e+01
2.714108848571777344e+01	1.378705024719238281e+01
2.130893516540527344e+01	1.490793991088867188e+01
7.444937896728515625e+01	1.604005050659179688e+01
7.198740386962890625e+01	1.721698951721191406e+01
3.021249961853027344e+01	8.709380149841308594e+00
8.594736480712890625e+01	1.502003002166748047e+01
5.350141143798828125e+01	1.347319030761718750e+01
4.879575347900390625e+01	2.008649063110351562e+01
7.298825836181640625e+01	4.010000228881835938e+00
6.341233062744140625e+01	1.681347084045410156e+01
3.619647979736328125e+01	1.210569953918457031e+01
5.509824371337890625e+01	1.782228088378906250e+01
4.480460357666015625e+01	1.345077991485595703e+01
