Predicted	Measured
1.151295852661132812e+01	1.266615009307861328e+01
1.246471595764160156e+01	1.490793991088867188e+01
1.252008056640625000e+01	1.240834045410156250e+01
1.192707633972167969e+01	1.346199035644531250e+01
1.246889495849609375e+01	1.468375968933105469e+01
1.374744415283203125e+01	1.274460983276367188e+01
1.203667831420898438e+01	1.209449005126953125e+01
1.005985641479492188e+01	1.502003002166748047e+01
2.619293451309204102e+00	1.412331962585449219e+01
1.640386962890625000e+01	2.008649063110351562e+01
1.358712387084960938e+01	1.345077991485595703e+01
2.619293451309204102e+00	7.745409965515136719e+00
1.060569000244140625e+01	9.101690292358398438e+00
2.619293451309204102e+00	2.629630088806152344e+00
2.619293451309204102e+00	1.146679019927978516e+01
1.729436492919921875e+01	1.640995025634765625e+01
1.468702507019042969e+01	1.513212013244628906e+01
2.619293451309204102e+00	1.156766986846923828e+01
1.190235519409179688e+01	1.210569953918457031e+01
2.619293451309204102e+00	9.751810073852539062e+00
1.372916793823242188e+01	1.643236923217773438e+01
2.619293451309204102e+00	1.681347084045410156e+01
3.207427978515625000e+00	1.482948017120361328e+01
1.334101104736328125e+01	1.422420024871826172e+01
2.619293451309204102e+00	1.434749960899353027e+00
1.508832359313964844e+01	1.210569953918457031e+01
2.619293451309204102e+00	1.098480033874511719e+01
2.619293451309204102e+00	2.174540042877197266e+00
2.619293451309204102e+00	3.710170030593872070e+00
1.750714111328125000e+01	1.573740959167480469e+01
2.619293451309204102e+00	1.171337985992431641e+01
9.408454895019531250e+00	1.154524993896484375e+01
1.578686714172363281e+01	1.165734004974365234e+01
2.619293451309204102e+00	2.219379901885986328e+00
1.301071548461914062e+01	1.334990024566650391e+01
1.651827430725097656e+01	1.714974021911621094e+01
2.619293451309204102e+00	2.230587005615234375e+01
1.531066703796386719e+01	1.457166957855224609e+01
1.643684959411621094e+01	1.604005050659179688e+01
1.301843452453613281e+01	1.275582027435302734e+01
1.450342941284179688e+01	1.376463031768798828e+01
1.159736251831054688e+01	1.347319030761718750e+01
2.619293451309204102e+00	9.430000305175781250e+00
2.619293451309204102e+00	3.046600103378295898e+00
1.454873085021972656e+01	1.604005050659179688e+01
1.064339637756347656e+01	1.212812042236328125e+01
2.619293451309204102e+00	1.225142002105712891e+01
2.619293451309204102e+00	2.119620084762573242e+00
1.664197731018066406e+01	1.912252044677734375e+01
1.292922210693359375e+01	1.320417976379394531e+01
1.699856376647949219e+01	1.898801040649414062e+01
2.619293451309204102e+00	1.126500010490417480e+00
1.509048843383789062e+01	1.681347084045410156e+01
1.440243530273437500e+01	1.614093017578125000e+01
2.619293451309204102e+00	4.010000228881835938e+00
2.619293451309204102e+00	1.636510014533996582e+00
1.174959182739257812e+01	1.670137977600097656e+01
1.274073219299316406e+01	1.281186008453369141e+01
2.619293451309204102e+00	1.580465984344482422e+01
1.014509391784667969e+01	9.718190193176269531e+00
1.060698890686035156e+01	1.244196987152099609e+01
1.399336242675781250e+01	1.692555999755859375e+01
2.619293451309204102e+00	8.182559967041015625e+00
2.619293451309204102e+00	1.132106971740722656e+01
2.619293451309204102e+00	1.281970024108886719e+00
1.557041168212890625e+01	1.493035984039306641e+01
