Predicted	Measured
2.581191778182983398e+00	6.859899997711181641e+00
1.469435501098632812e+01	1.361890983581542969e+01
1.064658164978027344e+01	1.346199035644531250e+01
8.814556121826171875e+00	1.383187961578369141e+01
1.338569641113281250e+01	1.535630035400390625e+01
1.277745819091796875e+01	1.240834045410156250e+01
2.581191778182983398e+00	2.629630088806152344e+00
2.581191778182983398e+00	2.678950071334838867e+00
2.581191778182983398e+00	1.146679019927978516e+01
1.758086776733398438e+01	2.008649063110351562e+01
2.581191778182983398e+00	2.119620084762573242e+00
1.470353603363037109e+01	1.457166957855224609e+01
1.465630531311035156e+01	1.602883911132812500e+01
9.289686203002929688e+00	1.154524993896484375e+01
8.926347732543945312e+00	1.502003002166748047e+01
1.846813201904296875e+01	1.898801040649414062e+01
1.109543418884277344e+01	9.101690292358398438e+00
2.581191778182983398e+00	4.259409904479980469e+00
2.581191778182983398e+00	8.048049926757812500e+00
1.173164558410644531e+01	1.210569953918457031e+01
1.247133064270019531e+01	1.201603031158447266e+01
2.581191778182983398e+00	1.266615009307861328e+01
8.498819351196289062e+00	2.230587005615234375e+01
1.639108085632324219e+01	1.604005050659179688e+01
2.581191778182983398e+00	1.600642013549804688e+01
8.586745262145996094e+00	1.482948017120361328e+01
2.581191778182983398e+00	1.333868980407714844e+01
6.848688602447509766e+00	4.010000228881835938e+00
2.581191778182983398e+00	1.635390090942382812e+01
8.027284622192382812e+00	1.422420024871826172e+01
1.749047088623046875e+01	1.640995025634765625e+01
2.581191778182983398e+00	1.434749960899353027e+00
2.581191778182983398e+00	9.430000305175781250e+00
1.394617462158203125e+01	9.919949531555175781e+00
1.578878211975097656e+01	1.681347084045410156e+01
1.438107490539550781e+01	1.376463031768798828e+01
1.573501777648925781e+01	1.513212013244628906e+01
2.581191778182983398e+00	1.126500010490417480e+00
1.603511238098144531e+01	1.629785919189453125e+01
2.581191778182983398e+00	2.369580030441284180e+00
1.527483367919921875e+01	1.643236923217773438e+01
9.421281814575195312e+00	9.718190193176269531e+00
2.581191778182983398e+00	3.710170030593872070e+00
1.178247547149658203e+01	1.468375968933105469e+01
2.581191778182983398e+00	8.182559967041015625e+00
2.581191778182983398e+00	2.231707954406738281e+01
2.581191778182983398e+00	6.153729915618896484e+00
1.464180564880371094e+01	1.604005050659179688e+01
2.581191778182983398e+00	1.132106971740722656e+01
2.581191778182983398e+00	2.219379901885986328e+00
1.412201309204101562e+01	1.300242042541503906e+01
3.258765697479248047e+00	1.681347084045410156e+01
2.581191778182983398e+00	1.012170982360839844e+01
1.266523075103759766e+01	1.008808040618896484e+01
1.400522041320800781e+01	1.274460983276367188e+01
1.836436080932617188e+01	1.625301933288574219e+01
1.115178871154785156e+01	1.431387042999267578e+01
2.581191778182983398e+00	1.281970024108886719e+00
1.257093429565429688e+01	1.334990024566650391e+01
5.185082435607910156e+00	1.490793991088867188e+01
1.276591587066650391e+01	1.305846023559570312e+01
1.507305145263671875e+01	1.493035984039306641e+01
2.581191778182983398e+00	1.156766986846923828e+01
1.362372779846191406e+01	1.277824020385742188e+01
2.581191778182983398e+00	1.378705024719238281e+01
1.745228958129882812e+01	1.912252044677734375e+01
2.581191778182983398e+00	2.174540042877197266e+00
2.581191778182983398e+00	1.225142002105712891e+01
1.360195350646972656e+01	1.281186008453369141e+01
1.174042224884033203e+01	1.055885982513427734e+01
2.581191778182983398e+00	1.311450958251953125e+01
2.581191778182983398e+00	1.947000026702880859e+00
1.265986251831054688e+01	1.209449005126953125e+01
2.581191778182983398e+00	7.745409965515136719e+00
3.052018642425537109e+00	1.336110973358154297e+01
1.400941467285156250e+01	1.721698951721191406e+01
2.581191778182983398e+00	2.702490091323852539e+00
1.076472759246826172e+01	9.415539741516113281e+00
8.843981742858886719e+00	1.032347011566162109e+01
1.408635997772216797e+01	1.614093017578125000e+01
2.581191778182983398e+00	1.737392044067382812e+01
2.581191778182983398e+00	1.098480033874511719e+01
1.263204956054687500e+01	1.692555999755859375e+01
2.581191778182983398e+00	1.899921989440917969e+01
1.186078453063964844e+01	1.490793991088867188e+01
2.581191778182983398e+00	1.871899962425231934e+00
1.141020774841308594e+01	1.266615009307861328e+01
1.366106986999511719e+01	1.275582027435302734e+01
1.607100486755371094e+01	1.912252044677734375e+01
2.581191778182983398e+00	3.046600103378295898e+00
2.581191778182983398e+00	1.171337985992431641e+01
1.088499641418457031e+01	1.244196987152099609e+01
2.581191778182983398e+00	9.751810073852539062e+00
5.203000545501708984e+00	1.759810066223144531e+01
2.581191778182983398e+00	1.067094993591308594e+01
9.338788986206054688e+00	1.347319030761718750e+01
2.581191778182983398e+00	4.959969997406005859e+00
1.412648010253906250e+01	1.359648990631103516e+01
1.247430610656738281e+01	1.345077991485595703e+01
1.283676719665527344e+01	1.107446956634521484e+01
8.258422851562500000e+00	1.232987976074218750e+01
2.581191778182983398e+00	1.000000000000000000e+00
2.581191778182983398e+00	1.524420022964477539e+00
1.765601539611816406e+01	1.714974021911621094e+01
1.846866416931152344e+01	1.573740959167480469e+01
1.367851161956787109e+01	1.657807922363281250e+01
1.446562194824218750e+01	1.165734004974365234e+01
1.291236114501953125e+01	1.368616962432861328e+01
2.581191778182983398e+00	3.060050010681152344e+00
2.581191778182983398e+00	4.710010051727294922e+00
2.844449758529663086e+00	1.340594005584716797e+01
1.459864902496337891e+01	1.782228088378906250e+01
1.300535964965820312e+01	1.345077991485595703e+01
1.490920543670654297e+01	1.210569953918457031e+01
2.581191778182983398e+00	1.258769035339355469e+01
1.352231121063232422e+01	1.320417976379394531e+01
1.479608535766601562e+01	1.422420024871826172e+01
2.581191778182983398e+00	4.864699840545654297e+00
1.251714611053466797e+01	1.212812042236328125e+01
2.581191778182983398e+00	1.636510014533996582e+00
2.581191778182983398e+00	1.412331962585449219e+01
4.456424236297607422e+00	1.338352012634277344e+01
1.248528575897216797e+01	8.709380149841308594e+00
2.639780998229980469e+00	1.580465984344482422e+01
1.227792358398437500e+01	1.209449005126953125e+01
1.220370006561279297e+01	1.670137977600097656e+01
