Predicted	Measured
4.922941923141479492e-01	7.093362510204315186e-02
4.922905862331390381e-01	7.212377786636352539e-01
4.952812790870666504e-01	5.630785226821899414e-01
5.031905174255371094e-01	7.455698847770690918e-01
4.936710298061370850e-01	6.895001530647277832e-01
4.881052970886230469e-01	6.223221421241760254e-01
4.999729692935943604e-01	1.478444933891296387e-01
4.978548586368560791e-01	2.406770922243595123e-02
4.939807057380676270e-01	3.911663591861724854e-01
4.920465350151062012e-01	8.434275984764099121e-01
4.939790368080139160e-01	1.877810060977935791e-02
4.912002682685852051e-01	6.926738619804382324e-01
4.930324554443359375e-01	3.266331553459167480e-01
4.956319928169250488e-01	1.809045076370239258e-01
4.957050979137420654e-01	1.000000000000000000e+00
4.932647943496704102e-01	6.180904507637023926e-01
5.027455091476440430e-01	7.336684036999940872e-03
4.913097620010375977e-01	3.871991485357284546e-02
5.017994642257690430e-01	5.286961197853088379e-01
4.910426735877990723e-01	5.445649623870849609e-01
4.916634857654571533e-01	7.085426449775695801e-01
4.876290559768676758e-01	5.927003622055053711e-01
4.954997301101684570e-01	7.222956418991088867e-01
4.960690736770629883e-01	5.157366022467613220e-02
4.928137063980102539e-01	7.037819623947143555e-01
4.919499456882476807e-01	5.514413714408874512e-01
4.924179315567016602e-01	4.070351719856262207e-01
4.920859336853027344e-01	3.517587855458259583e-02
4.930470287799835205e-01	6.133297681808471680e-01
4.928058385848999023e-01	5.323988199234008789e-01
4.929604232311248779e-01	4.879661202430725098e-01
5.024154186248779297e-01	0.000000000000000000e+00
4.914896786212921143e-01	6.344882845878601074e-01
4.924000501632690430e-01	6.609362363815307617e-01
4.969297945499420166e-01	6.180904507637023926e-01
4.900795221328735352e-01	9.994710087776184082e-01
5.002132654190063477e-01	1.454641576856374741e-02
4.944277405738830566e-01	2.705633342266082764e-01
4.941415488719940186e-01	5.657233595848083496e-01
4.947079420089721680e-01	5.175879001617431641e-01
4.935750365257263184e-01	3.123512268066406250e-01
4.966559410095214844e-01	4.504099190235137939e-01
4.938834011554718018e-01	5.604337453842163086e-01
4.915470480918884277e-01	5.138852000236511230e-01
4.928425848484039307e-01	4.996032416820526123e-01
