name,mass,semi_major_axis,temp_eq,star_luminosity,star_mass,star_radius,star_teff,radius
           HAT-P-2 b,2777.82027,0.0674,1537.03494,3.60369,1.34,1.54,6414,10.65974
         Kepler-91 b,232.01474,0.072,2053.45746,15.27275,1.31,6.3,4550,15.51323
          WASP-133 b,368.68095,0.0345,1782.26327,1.96524,1.16,1.44,5700,13.56287
           WASP-16 b,271.74329,0.0421,1268.6178,0.76233,1.022,0.946,5550,11.29865
         WASP-94 A b,143.65844,0.055,1479.47139,2.40663,1.29,1.36,6170,19.27945
            K2-261 b,70.87573,0.102,1096.24248,2.29751,1.1,1.65,5537,9.52763
           Qatar-7 b,597.5174,0.0352,2052.94473,3.6547,1.409,1.564,6387,19.05527
          HAT-P-16 b,1332.65451,0.0413,1625.37362,1.97555,1.218,1.237,6158,14.44838
           Qatar-8 b,117.91434,0.0474,1444.40915,1.62396,1.029,1.315,5687,14.40354
           WASP-99 b,883.56297,0.0717,1476.44927,4.05667,1.48,1.76,6180,12.32988
            WASP-6 b,159.86769,0.0421,1195.10733,0.59954,0.888,0.87,5450,13.71979
           WASP-63 b,120.77479,0.0574,1531.61376,3.01077,1.32,1.88,5550,16.02884
           WASP-19 b,354.06084,0.01616,2090.46699,0.82815,0.904,1.004,5500,15.63653
         HD 210702 b,574.63376,1.148,494.28839,13.05847,1.61,4.92,4951,13.63012
           HD 3167 c,9.78911,0.1795,560.99987,0.51071,0.88,0.828,5367,3.01522
          HAT-P-13 b,270.15415,0.0426,1645.23074,2.2077,1.22,1.56,5638,14.3475
          HAT-P-33 b,242.50307,0.0503,1839.6837,4.75945,1.403,1.777,6401,20.47881
          CoRoT-30 b,921.70238,0.0844,896.19365,0.76303,0.98,0.91,5660,11.30986
           WASP-97 b,419.5335,0.03303,1540.67504,1.02075,1.12,1.06,5640,12.66615
           CoRoT-1 b,327.36326,0.0254,2007.61571,1.74039,0.95,1.11,6298,16.70138
         Kepler-77 b,136.66621,0.04501,1248.34742,0.81699,0.95,0.99,5520,10.76062
            NGTS-4 b,20.59528,0.019,1648.96966,0.44322,0.75,0.84,5143,3.17999
