Predicted	Measured
8.699855804443359375e+00	1.625301933288574219e+01
1.108712005615234375e+01	1.209449005126953125e+01
1.675056219100952148e+00	1.171337985992431641e+01
1.304691314697265625e+01	1.602883911132812500e+01
1.675056219100952148e+00	1.412331962585449219e+01
9.563493728637695312e+00	1.032347011566162109e+01
1.201554584503173828e+01	1.346199035644531250e+01
8.159510612487792969e+00	1.490793991088867188e+01
2.013986349105834961e+00	3.710170030593872070e+00
2.267320871353149414e+00	2.629630088806152344e+00
7.478994131088256836e-01	1.580465984344482422e+01
1.122323226928710938e+01	1.212812042236328125e+01
1.151181697845458984e+01	1.266615009307861328e+01
1.675056219100952148e+00	1.737392044067382812e+01
9.049631118774414062e+00	9.718190193176269531e+00
1.215567588806152344e+01	1.305846023559570312e+01
2.087705850601196289e+00	4.864699840545654297e+00
1.049770355224609375e+01	1.008808040618896484e+01
1.675056219100952148e+00	1.600642013549804688e+01
6.840621471405029297e+00	1.502003002166748047e+01
1.474515151977539062e+01	1.681347084045410156e+01
4.857407569885253906e+00	1.482948017120361328e+01
1.177518081665039062e+01	1.277824020385742188e+01
1.577345275878906250e+01	1.640995025634765625e+01
1.365244293212890625e+01	1.513212013244628906e+01
1.378639888763427734e+01	1.629785919189453125e+01
9.241254806518554688e+00	1.154524993896484375e+01
1.494289779663085938e+01	1.912252044677734375e+01
1.334722328186035156e+01	1.210569953918457031e+01
7.569364309310913086e-01	1.132106971740722656e+01
1.340229034423828125e+01	1.614093017578125000e+01
2.459014415740966797e+00	3.060050010681152344e+00
1.675056219100952148e+00	4.259409904479980469e+00
1.771348118782043457e+00	1.098480033874511719e+01
4.633728027343750000e+00	1.721698951721191406e+01
1.284459686279296875e+01	1.345077991485595703e+01
1.932703971862792969e+00	2.119620084762573242e+00
3.238757610321044922e+00	1.338352012634277344e+01
2.386835575103759766e+00	1.000000000000000000e+00
1.186847305297851562e+01	1.209449005126953125e+01
1.454116439819335938e+01	1.573740959167480469e+01
1.270937442779541016e+01	1.347319030761718750e+01
1.252595806121826172e+01	1.535630035400390625e+01
1.337218475341796875e+01	1.643236923217773438e+01
1.073306202888488770e+00	1.266615009307861328e+01
1.859570145606994629e+00	1.759810066223144531e+01
7.865335941314697266e-01	9.751810073852539062e+00
1.675056219100952148e+00	8.182559967041015625e+00
1.393403244018554688e+01	1.165734004974365234e+01
1.172068786621093750e+01	1.782228088378906250e+01
2.014185905456542969e+00	4.959969997406005859e+00
1.198861002922058105e+00	2.369580030441284180e+00
1.115421485900878906e+01	1.281186008453369141e+01
1.290838241577148438e+01	1.368616962432861328e+01
1.234512519836425781e+01	1.490793991088867188e+01
7.286807894706726074e-01	2.231707954406738281e+01
8.583382606506347656e+00	1.383187961578369141e+01
3.278451919555664062e+00	1.431387042999267578e+01
1.053289985656738281e+01	1.107446956634521484e+01
1.675056219100952148e+00	1.067094993591308594e+01
1.038636302947998047e+01	1.201603031158447266e+01
1.675056219100952148e+00	4.010000228881835938e+00
9.959184527397155762e-01	9.430000305175781250e+00
1.151931762695312500e+01	1.320417976379394531e+01
1.675056219100952148e+00	1.947000026702880859e+00
1.250156211853027344e+01	1.334990024566650391e+01
2.670292377471923828e+00	6.153729915618896484e+00
1.510249137878417969e+01	1.657807922363281250e+01
1.476306676864624023e+00	1.146679019927978516e+01
1.342711162567138672e+01	1.376463031768798828e+01
1.418017864227294922e+01	1.714974021911621094e+01
1.183162879943847656e+01	1.232987976074218750e+01
1.233415031433105469e+01	1.240834045410156250e+01
1.371909856796264648e+00	1.681347084045410156e+01
1.181378936767578125e+01	1.244196987152099609e+01
1.467240333557128906e+01	2.008649063110351562e+01
1.675056219100952148e+00	1.126500010490417480e+00
1.675056219100952148e+00	1.281970024108886719e+00
1.388234710693359375e+01	1.604005050659179688e+01
1.015078353881835938e+01	1.210569953918457031e+01
8.658202290534973145e-01	1.225142002105712891e+01
1.675056219100952148e+00	1.333868980407714844e+01
1.393496608734130859e+01	1.692555999755859375e+01
2.160352945327758789e+00	3.046600103378295898e+00
1.618503093719482422e+00	1.012170982360839844e+01
