Predicted	Measured
2.263436317443847656e+00	1.336110973358154297e+01
5.308169841766357422e+00	1.482948017120361328e+01
1.426618480682373047e+01	1.359648990631103516e+01
1.077030181884765625e+01	2.230587005615234375e+01
1.929567217826843262e+00	1.225142002105712891e+01
2.407470703125000000e+00	1.338352012634277344e+01
1.365787029266357422e+01	9.919949531555175781e+00
1.929567217826843262e+00	3.710170030593872070e+00
1.628318977355957031e+01	1.657807922363281250e+01
1.447472953796386719e+01	1.604005050659179688e+01
1.032657623291015625e+01	1.209449005126953125e+01
1.648769760131835938e+01	1.629785919189453125e+01
1.929567217826843262e+00	1.635390090942382812e+01
1.336641120910644531e+01	1.345077991485595703e+01
1.929567217826843262e+00	1.146679019927978516e+01
1.929567217826843262e+00	1.636510014533996582e+00
7.103955268859863281e+00	8.182559967041015625e+00
1.929567217826843262e+00	1.266615009307861328e+01
1.139960479736328125e+01	1.468375968933105469e+01
1.929567217826843262e+00	2.219379901885986328e+00
1.244913291931152344e+01	1.165734004974365234e+01
1.316855239868164062e+01	1.368616962432861328e+01
1.929567217826843262e+00	2.119620084762573242e+00
1.929567217826843262e+00	6.859899997711181641e+00
1.036602020263671875e+01	1.008808040618896484e+01
1.437329959869384766e+01	1.376463031768798828e+01
1.661197471618652344e+01	1.912252044677734375e+01
1.929567217826843262e+00	2.369580030441284180e+00
1.929567217826843262e+00	1.126500010490417480e+00
2.353541135787963867e+00	1.759810066223144531e+01
1.929567217826843262e+00	1.947000026702880859e+00
1.653462409973144531e+01	1.604005050659179688e+01
1.846548843383789062e+01	1.912252044677734375e+01
1.929567217826843262e+00	4.010000228881835938e+00
1.518695640563964844e+01	1.602883911132812500e+01
1.929567217826843262e+00	1.871899962425231934e+00
1.898991012573242188e+01	1.573740959167480469e+01
1.117406654357910156e+01	1.210569953918457031e+01
1.275626945495605469e+01	1.032347011566162109e+01
1.465004920959472656e+01	1.692555999755859375e+01
1.929567217826843262e+00	7.745409965515136719e+00
2.600879192352294922e+00	1.340594005584716797e+01
1.929567217826843262e+00	1.258769035339355469e+01
2.201879262924194336e+00	1.333868980407714844e+01
1.929567217826843262e+00	8.048049926757812500e+00
7.810307025909423828e+00	1.721698951721191406e+01
1.375413417816162109e+01	1.300242042541503906e+01
1.929567217826843262e+00	4.710010051727294922e+00
1.929567217826843262e+00	2.231707954406738281e+01
1.015000343322753906e+01	1.154524993896484375e+01
1.191245746612548828e+01	1.502003002166748047e+01
1.076147747039794922e+01	9.101690292358398438e+00
1.929567217826843262e+00	1.281970024108886719e+00
1.485919857025146484e+01	1.513212013244628906e+01
1.261437034606933594e+01	1.266615009307861328e+01
