Predicted	Measured
1.477420091629028320e+00	1.737392044067382812e+01
1.572741985321044922e+01	1.493035984039306641e+01
1.588483333587646484e+01	1.604005050659179688e+01
7.680140137672424316e-01	2.231707954406738281e+01
1.470995426177978516e+01	1.422420024871826172e+01
9.385620117187500000e+00	1.383187961578369141e+01
1.491266727447509766e+01	1.681347084045410156e+01
1.339498805999755859e+01	9.919949531555175781e+00
2.663458347320556641e+00	1.871899962425231934e+00
1.009083271026611328e+01	1.055885982513427734e+01
2.621840476989746094e+00	6.153729915618896484e+00
2.634914875030517578e+00	4.864699840545654297e+00
2.648674964904785156e+00	1.524420022964477539e+00
1.493096446990966797e+01	1.210569953918457031e+01
1.226155185699462891e+01	1.422420024871826172e+01
2.538426399230957031e+00	2.369580030441284180e+00
2.556069374084472656e+00	4.959969997406005859e+00
1.098519420623779297e+01	1.107446956634521484e+01
1.008981418609619141e+01	1.154524993896484375e+01
1.121611690521240234e+01	1.201603031158447266e+01
1.416727924346923828e+01	1.535630035400390625e+01
3.072593808174133301e-01	1.600642013549804688e+01
2.663994789123535156e+00	1.434749960899353027e+00
1.361149406433105469e+01	1.209449005126953125e+01
1.373237800598144531e+01	1.212812042236328125e+01
7.706866860389709473e-01	1.311450958251953125e+01
2.401853561401367188e+00	1.012170982360839844e+01
2.394963741302490234e+00	7.745409965515136719e+00
1.211260509490966797e+01	1.490793991088867188e+01
1.553234100341796875e+01	1.782228088378906250e+01
2.008887529373168945e+00	1.132106971740722656e+01
3.824176788330078125e+00	1.759810066223144531e+01
9.223755002021789551e-01	1.681347084045410156e+01
2.236860752105712891e+00	9.430000305175781250e+00
1.474345684051513672e+01	1.277824020385742188e+01
1.857191085815429688e+01	1.714974021911621094e+01
1.372084903717041016e+01	1.670137977600097656e+01
1.135016441345214844e+01	9.415539741516113281e+00
2.524651527404785156e+00	1.098480033874511719e+01
1.249726009368896484e+01	1.165734004974365234e+01
9.789678573608398438e+00	1.502003002166748047e+01
1.542181777954101562e+01	1.692555999755859375e+01
2.555013656616210938e+00	3.710170030593872070e+00
2.667863368988037109e+00	1.281970024108886719e+00
1.221280193328857422e+01	2.230587005615234375e+01
1.429106807708740234e+01	1.300242042541503906e+01
1.326165771484375000e+01	1.266615009307861328e+01
1.387062168121337891e+01	1.209449005126953125e+01
2.656781673431396484e+00	1.947000026702880859e+00
2.646225929260253906e+00	3.060050010681152344e+00
1.474971485137939453e+01	1.376463031768798828e+01
2.760736942291259766e+00	1.000000000000000000e+00
2.684616565704345703e+00	1.126500010490417480e+00
1.384121131896972656e+01	1.320417976379394531e+01
1.081681728363037109e+01	9.718190193176269531e+00
1.083927631378173828e+00	1.899921989440917969e+01
2.613331317901611328e+00	2.629630088806152344e+00
9.579890251159667969e+00	9.101690292358398438e+00
1.540677928924560547e+01	1.361890983581542969e+01
1.455184173583984375e+01	1.602883911132812500e+01
1.486579036712646484e+01	1.643236923217773438e+01
1.660006904602050781e+01	1.912252044677734375e+01
2.535830497741699219e+00	1.636510014533996582e+00
2.644513130187988281e+00	2.702490091323852539e+00
1.297730922698974609e+01	1.346199035644531250e+01
1.673750305175781250e+01	1.912252044677734375e+01
1.993493318557739258e+00	9.751810073852539062e+00
1.254651355743408203e+01	1.232987976074218750e+01
8.076875805854797363e-01	1.266615009307861328e+01
2.360048770904541016e+00	1.156766986846923828e+01
1.385166358947753906e+01	1.347319030761718750e+01
2.336119174957275391e+00	4.010000228881835938e+00
1.477086544036865234e+01	1.513212013244628906e+01
