Predicted	Measured
1.009121131896972656e+01	9.718190193176269531e+00
-4.411971569061279297e-02	2.174540042877197266e+00
1.193436384201049805e+00	1.146679019927978516e+01
1.539907455444335938e+01	1.493035984039306641e+01
1.006303787231445312e+01	9.101690292358398438e+00
9.075164794921875000e-03	2.119620084762573242e+00
1.307656478881835938e+01	9.919949531555175781e+00
9.736849665641784668e-01	1.899921989440917969e+01
1.621986389160156250e+01	1.912252044677734375e+01
1.199477577209472656e+01	1.201603031158447266e+01
1.286982727050781250e+01	1.281186008453369141e+01
3.286743164062500000e-02	2.629630088806152344e+00
1.929023742675781250e+00	1.333868980407714844e+01
-1.240900754928588867e-01	2.702490091323852539e+00
1.349280548095703125e+01	1.274460983276367188e+01
-5.613803863525390625e-03	2.678950071334838867e+00
1.349748897552490234e+01	1.347319030761718750e+01
1.149771690368652344e+01	1.212812042236328125e+01
1.433834171295166016e+01	1.602883911132812500e+01
-3.859138488769531250e-02	2.369580030441284180e+00
1.508180904388427734e+01	1.359648990631103516e+01
8.090063333511352539e-01	1.266615009307861328e+01
1.360229682922363281e+01	1.305846023559570312e+01
9.917086362838745117e-01	1.737392044067382812e+01
1.701586246490478516e-01	1.156766986846923828e+01
1.551303768157958984e+01	1.625301933288574219e+01
1.411422348022460938e+01	1.535630035400390625e+01
-2.816069126129150391e-02	3.710170030593872070e+00
1.520619773864746094e+01	1.692555999755859375e+01
5.953975200653076172e+00	1.431387042999267578e+01
1.190512180328369141e+00	1.067094993591308594e+01
1.286797904968261719e+01	1.320417976379394531e+01
1.312895393371582031e+01	1.275582027435302734e+01
1.686974716186523438e+01	1.898801040649414062e+01
-1.599602699279785156e-01	1.281970024108886719e+00
7.473658919334411621e-01	1.171337985992431641e+01
1.486937522888183594e+01	1.376463031768798828e+01
1.206493186950683594e+01	1.422420024871826172e+01
1.969579339027404785e+00	1.600642013549804688e+01
2.504825592041015625e-03	4.959969997406005859e+00
-4.264831542968750000e-03	1.000000000000000000e+00
1.323962879180908203e+01	1.209449005126953125e+01
3.771286010742187500e-01	1.378705024719238281e+01
1.286970329284667969e+01	1.209449005126953125e+01
-4.055488109588623047e-02	4.864699840545654297e+00
1.325387382507324219e+01	1.490793991088867188e+01
-1.956963539123535156e-02	4.259409904479980469e+00
1.659468841552734375e+01	1.912252044677734375e+01
-7.232272624969482422e-02	2.219379901885986328e+00
4.512832164764404297e-01	1.635390090942382812e+01
-3.936613798141479492e-01	1.524420022964477539e+00
4.640936851501464844e-02	1.098480033874511719e+01
9.637519836425781250e+00	1.502003002166748047e+01
1.908673644065856934e+00	1.681347084045410156e+01
1.325087189674377441e+00	8.182559967041015625e+00
1.692118644714355469e+00	1.311450958251953125e+01
3.298707604408264160e-01	9.430000305175781250e+00
1.474140071868896484e+01	1.643236923217773438e+01
1.250391006469726562e+01	1.008808040618896484e+01
6.296109557151794434e-01	9.751810073852539062e+00
4.172568321228027344e+00	1.482948017120361328e+01
1.029498481750488281e+01	1.490793991088867188e+01
8.976386189460754395e-01	4.010000228881835938e+00
1.208842277526855469e+01	1.107446956634521484e+01
1.003278732299804688e+01	2.230587005615234375e+01
1.289867591857910156e+01	1.346199035644531250e+01
1.112392234802246094e+01	1.210569953918457031e+01
1.673003196716308594e+01	1.640995025634765625e+01
-2.931141853332519531e-02	3.060050010681152344e+00
1.527208137512207031e+01	1.361890983581542969e+01
7.555630803108215332e-01	8.048049926757812500e+00
1.368631649017333984e+01	1.345077991485595703e+01
1.484688949584960938e+01	1.513212013244628906e+01
1.238502120971679688e+01	1.468375968933105469e+01
5.914700031280517578e-02	6.859899997711181641e+00
2.004023551940917969e+00	1.580465984344482422e+01
3.002557754516601562e+00	1.759810066223144531e+01
1.946179389953613281e+01	1.573740959167480469e+01
1.040315818786621094e+01	1.154524993896484375e+01
1.406353664398193359e+01	1.721698951721191406e+01
1.101200675964355469e+01	9.415539741516113281e+00
1.199270439147949219e+01	8.709380149841308594e+00
3.857585787773132324e-01	1.225142002105712891e+01
1.671172714233398438e+01	1.657807922363281250e+01
1.501994252204895020e+00	2.231707954406738281e+01
1.391941356658935547e+01	1.300242042541503906e+01
1.354226016998291016e+01	1.277824020385742188e+01
-1.761051416397094727e-01	1.636510014533996582e+00
-1.442842483520507812e-01	1.126500010490417480e+00
1.223138141632080078e+01	1.232987976074218750e+01
2.788496732711791992e+00	1.336110973358154297e+01
2.252320051193237305e-01	7.745409965515136719e+00
1.277043437957763672e+01	1.266615009307861328e+01
1.393360233306884766e+01	1.422420024871826172e+01
1.451555156707763672e+01	1.165734004974365234e+01
1.395325851440429688e+01	1.345077991485595703e+01
-4.277157783508300781e-02	3.046600103378295898e+00
1.490217018127441406e+01	1.210569953918457031e+01
1.098531341552734375e+01	1.055885982513427734e+01
1.579068374633789062e+01	1.604005050659179688e+01
1.022091150283813477e+00	1.132106971740722656e+01
1.106938266754150391e+01	1.032347011566162109e+01
1.623485183715820312e+01	2.008649063110351562e+01
1.669585704803466797e-01	1.012170982360839844e+01
1.281003284454345703e+01	1.244196987152099609e+01
-3.282039165496826172e-01	1.871899962425231934e+00
1.489672756195068359e+01	1.614093017578125000e+01
-7.694053649902343750e-02	4.710010051727294922e+00
1.504138278961181641e+01	1.681347084045410156e+01
3.159052610397338867e+00	1.338352012634277344e+01
-8.387720584869384766e-02	1.434749960899353027e+00
5.088220834732055664e-01	1.258769035339355469e+01
9.380256652832031250e+00	1.383187961578369141e+01
1.424840545654296875e+01	1.604005050659179688e+01
-3.077250719070434570e-01	1.947000026702880859e+00
1.554307365417480469e+01	1.457166957855224609e+01
1.405234050750732422e+01	1.334990024566650391e+01
1.559033107757568359e+01	1.629785919189453125e+01
1.434153270721435547e+01	1.368616962432861328e+01
1.834170341491699219e+01	1.714974021911621094e+01
4.522490501403808594e-02	6.153729915618896484e+00
1.570528507232666016e+00	1.412331962585449219e+01
1.301555442810058594e+01	1.670137977600097656e+01
1.390681457519531250e+01	1.240834045410156250e+01
2.563592433929443359e+00	1.340594005584716797e+01
1.249895191192626953e+01	1.782228088378906250e+01
